epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,505.677,1.67545,1.17307,1.05975,0.61209,0.47266,0.50881,0.25763,1.73896,1.29325,1.11432,0.0011684,0.0011684,0.0011684
44,517.248,1.69619,1.15922,1.05461,0.63327,0.47248,0.51743,0.26007,1.7503,1.25174,1.11211,0.0011486,0.0011486,0.0011486
45,528.76,1.67726,1.15664,1.06176,0.60647,0.44971,0.49188,0.23865,1.82263,1.263,1.12055,0.0011288,0.0011288,0.0011288
46,540.491,1.65885,1.14825,1.0486,0.62665,0.46374,0.50614,0.25426,1.7548,1.27814,1.1193,0.001109,0.001109,0.001109
47,552.151,1.67268,1.16922,1.05048,0.62291,0.45698,0.50234,0.25536,1.75724,1.24503,1.11493,0.0010892,0.0010892,0.0010892
48,563.814,1.67834,1.12836,1.04092,0.64432,0.47132,0.51809,0.26089,1.7659,1.24781,1.12268,0.0010694,0.0010694,0.0010694
49,575.314,1.65365,1.12701,1.04329,0.63163,0.46357,0.50456,0.26092,1.72864,1.24618,1.1075,0.0010496,0.0010496,0.0010496
50,587.037,1.63812,1.12615,1.03374,0.60489,0.44207,0.47999,0.23166,1.86347,1.29377,1.12814,0.0010298,0.0010298,0.0010298
51,598.731,1.6367,1.11542,1.03881,0.63385,0.46935,0.50972,0.25671,1.7515,1.26511,1.11346,0.00101,0.00101,0.00101
52,610.623,1.63289,1.11365,1.04071,0.62167,0.46807,0.51095,0.2624,1.71651,1.22938,1.09962,0.0009902,0.0009902,0.0009902
53,622.035,1.63769,1.1108,1.03675,0.64284,0.45927,0.51179,0.2609,1.74021,1.24462,1.11893,0.0009704,0.0009704,0.0009704
54,633.495,1.62073,1.10117,1.03228,0.63796,0.45468,0.50162,0.25187,1.74583,1.30075,1.1148,0.0009506,0.0009506,0.0009506
55,645.087,1.60899,1.09116,1.0321,0.62941,0.47801,0.5149,0.26243,1.72441,1.23081,1.10586,0.0009308,0.0009308,0.0009308
56,656.714,1.58105,1.08396,1.03092,0.62003,0.46119,0.49913,0.24691,1.81597,1.28307,1.1317,0.000911,0.000911,0.000911
57,668.425,1.58742,1.08518,1.03212,0.61239,0.48968,0.51843,0.26235,1.72577,1.25928,1.11163,0.0008912,0.0008912,0.0008912
58,680.014,1.60056,1.078,1.03209,0.60242,0.46845,0.49746,0.24436,1.78565,1.27244,1.11536,0.0008714,0.0008714,0.0008714
59,691.443,1.60315,1.07924,1.02733,0.64028,0.46922,0.50776,0.25349,1.76332,1.26303,1.1029,0.0008516,0.0008516,0.0008516
60,702.93,1.58319,1.04897,1.01974,0.64798,0.46071,0.50986,0.25886,1.7663,1.25334,1.1283,0.0008318,0.0008318,0.0008318
61,714.564,1.59546,1.05963,1.02622,0.62256,0.47017,0.50544,0.25009,1.78588,1.25292,1.11712,0.000812,0.000812,0.000812
62,726.855,1.59293,1.06826,1.02229,0.65135,0.46501,0.51118,0.26287,1.71812,1.22448,1.10512,0.0007922,0.0007922,0.0007922
63,738.806,1.5952,1.05038,1.01687,0.61425,0.47438,0.5136,0.26046,1.74136,1.25734,1.10536,0.0007724,0.0007724,0.0007724
64,750.877,1.59872,1.04864,1.02088,0.64096,0.47228,0.51663,0.26774,1.72226,1.21345,1.1122,0.0007526,0.0007526,0.0007526
65,762.838,1.57295,1.0389,1.01763,0.62132,0.4826,0.51797,0.26537,1.72498,1.23528,1.11806,0.0007328,0.0007328,0.0007328
66,774.431,1.55157,1.03576,1.01352,0.6264,0.46272,0.49857,0.24816,1.79418,1.23623,1.12768,0.000713,0.000713,0.000713
67,786.212,1.5531,1.02641,1.01434,0.62351,0.47055,0.50404,0.25542,1.76964,1.2671,1.1185,0.0006932,0.0006932,0.0006932
68,797.783,1.56127,1.02024,1.01361,0.62004,0.46023,0.49622,0.24788,1.78366,1.25382,1.12174,0.0006734,0.0006734,0.0006734
69,809.445,1.5633,1.01988,1.01825,0.63815,0.47815,0.52175,0.26539,1.7274,1.23019,1.11651,0.0006536,0.0006536,0.0006536
70,821.274,1.57407,1.02479,1.0131,0.62426,0.45583,0.49794,0.2517,1.75864,1.24699,1.11926,0.0006338,0.0006338,0.0006338
71,832.818,1.55843,1.01583,1.01064,0.63015,0.48547,0.51553,0.26704,1.71372,1.21591,1.10893,0.000614,0.000614,0.000614
72,844.579,1.52926,1.00486,1.00706,0.62621,0.48164,0.511,0.25843,1.75109,1.22909,1.11852,0.0005942,0.0005942,0.0005942
73,856.195,1.53353,0.9997,1.00645,0.64646,0.45966,0.51767,0.26129,1.74806,1.23784,1.11444,0.0005744,0.0005744,0.0005744
74,867.882,1.5511,1.01026,1.00813,0.63545,0.49216,0.51811,0.26697,1.73615,1.23635,1.11552,0.0005546,0.0005546,0.0005546
75,879.779,1.54437,0.98351,1.00511,0.63536,0.47954,0.51478,0.2608,1.75656,1.24459,1.11818,0.0005348,0.0005348,0.0005348
76,891.259,1.52382,0.98716,1.00544,0.62823,0.45493,0.50034,0.24962,1.78351,1.26084,1.1166,0.000515,0.000515,0.000515
77,903.113,1.50977,0.96034,0.99748,0.64719,0.47419,0.51905,0.26433,1.75897,1.22427,1.11847,0.0004952,0.0004952,0.0004952
78,914.734,1.51883,0.9753,1.00061,0.64565,0.47833,0.51671,0.26232,1.7405,1.23169,1.12064,0.0004754,0.0004754,0.0004754
79,926.351,1.50086,0.96909,0.9955,0.61203,0.47744,0.50864,0.25843,1.74891,1.24103,1.11979,0.0004556,0.0004556,0.0004556
80,938.038,1.48405,0.95555,0.99047,0.61177,0.48749,0.51478,0.26039,1.75023,1.22772,1.11567,0.0004358,0.0004358,0.0004358
81,949.81,1.49835,0.95912,0.9918,0.63318,0.48107,0.51909,0.26712,1.73792,1.22084,1.11631,0.000416,0.000416,0.000416
82,961.595,1.50411,0.95584,0.99409,0.66328,0.46979,0.5219,0.26844,1.72106,1.20942,1.11809,0.0003962,0.0003962,0.0003962
83,973.796,1.49061,0.95222,0.9875,0.63144,0.47686,0.51508,0.26339,1.73731,1.22466,1.12098,0.0003764,0.0003764,0.0003764
84,985.422,1.49282,0.95503,0.98922,0.61371,0.48126,0.50774,0.25438,1.77569,1.23049,1.1219,0.0003566,0.0003566,0.0003566
85,997.283,1.48309,0.93395,0.98467,0.62295,0.47512,0.50727,0.25729,1.77484,1.22724,1.1285,0.0003368,0.0003368,0.0003368
86,1009.18,1.48635,0.93343,0.98859,0.62756,0.49101,0.51946,0.26498,1.72879,1.20421,1.11785,0.000317,0.000317,0.000317
87,1021.01,1.49542,0.94283,0.98465,0.6422,0.47189,0.51342,0.26225,1.76174,1.21784,1.13064,0.0002972,0.0002972,0.0002972
88,1032.8,1.47437,0.93121,0.98972,0.64239,0.47801,0.52011,0.26436,1.75441,1.22223,1.12381,0.0002774,0.0002774,0.0002774
89,1044.55,1.47153,0.92845,0.98141,0.62566,0.48719,0.51867,0.26588,1.74557,1.2143,1.12286,0.0002576,0.0002576,0.0002576
90,1056.28,1.46257,0.90859,0.97989,0.63093,0.48872,0.5209,0.26642,1.74074,1.20057,1.12371,0.0002378,0.0002378,0.0002378
91,1090.66,1.43668,0.93424,0.99034,0.64227,0.46583,0.5069,0.25793,1.7819,1.22629,1.1519,0.000218,0.000218,0.000218
92,1102.21,1.41985,0.89677,0.98673,0.64547,0.45672,0.50215,0.25074,1.80963,1.22788,1.15013,0.0001982,0.0001982,0.0001982
93,1113.46,1.39716,0.89047,0.97551,0.63236,0.46711,0.50357,0.25355,1.78909,1.22428,1.13702,0.0001784,0.0001784,0.0001784
94,1124.89,1.38984,0.87324,0.97054,0.62994,0.48164,0.51115,0.26171,1.77101,1.20169,1.14159,0.0001586,0.0001586,0.0001586
95,1136.16,1.39972,0.87373,0.9774,0.62652,0.48031,0.50914,0.25688,1.78956,1.21394,1.14496,0.0001388,0.0001388,0.0001388
96,1147.62,1.39395,0.86652,0.97505,0.65698,0.46875,0.51235,0.26116,1.76871,1.20586,1.13768,0.000119,0.000119,0.000119
97,1158.9,1.38395,0.85958,0.9781,0.62968,0.47629,0.51004,0.25962,1.77631,1.20468,1.13887,9.92e-05,9.92e-05,9.92e-05
98,1170.5,1.38294,0.85332,0.97212,0.63476,0.47419,0.50898,0.25861,1.77875,1.21046,1.13673,7.94e-05,7.94e-05,7.94e-05
99,1181.82,1.38173,0.85313,0.97427,0.64224,0.4738,0.51094,0.25954,1.7694,1.20754,1.13507,5.96e-05,5.96e-05,5.96e-05
100,1193.33,1.37462,0.84605,0.97066,0.62424,0.48107,0.51164,0.25857,1.78303,1.20917,1.13572,3.98e-05,3.98e-05,3.98e-05
